"filename", "language", "XML", "Markdown", "JavaScript", "JSON with Comments", "Django Template", "JSON", "CSS", "Vue.js", "comment", "blank", "total"
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Dispatch\Dispatch.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 128, 5, 6, 139
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Dispatch\DispatchDetailDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 121, 2, 7, 130
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\EmpManage\EmpManage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 302, 11, 16, 329
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\EmpManage\empDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 172, 0, 9, 181
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\EqmManage\EqmManage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 266, 13, 14, 293
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\EqmManage\eqmDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 147, 0, 7, 154
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Home\AddDeclarationDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 117, 0, 4, 121
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Home\FixLogDetailDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 146, 0, 5, 151
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Home\Home.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 261, 12, 23, 296
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Home\ReportResultDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 147, 1, 6, 154
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\ResultReport\ResultReport.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 186, 8, 10, 204
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\ResultReport\ReviewDetailDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 115, 0, 4, 119
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\ResultReview\ResultDetailDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 183, 3, 4, 190
